SEGRADES,SEGRADEQ,SEENJOY,SEABSNT,SCCHOICE,SPUBCHOIX,SCONSIDR,EDCPUB,SCHLHRSWK,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,CDOBMM,CDOBYY,CSEX,ALLGRADEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,DSBLTY,HHPARN19X,NUMSIBSX,PARGRADEX,RACEETH,CENREG,ZIPLOCL,HDHEALTH,SEFUTUREX,INTACC,EINTNET,success_binary,engagement_count,homework_intensity,school_involvement,communication_index,enrichment_count,has_choice,child_age
1,2,2,2,2,3,2,1,4,4,5,2,2,2,3,1,1,2,1,1,2,1,2,2,4,1,1,2,2,2,2,3,1,2,1,2,1,1,2,4,2,2,2,2006,1,10,2,3,1,1,2,1,1,32,38,1,7,2,2,1,1,0,3,1,2,21,3,6,1,4,1,4,2.6666666666666665,1.5,1.6666666666666667,3,0,13
1,1,1,2,2,3,2,1,4,3,2,1,1,1,4,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,7,1,1,12,2009,1,6,2,4,2,1,1,1,1,45,39,1,9,1,5,2,1,1,4,1,2,22,1,6,1,4,1,2,2.6666666666666665,1.75,1,5,0,10
1,3,2,1,1,1,1,2,4,2,3,1,1,1,4,2,1,1,1,1,1,1,2,2,5,1,1,1,2,1,1,1,1,1,1,2,1,2,2,7,2,1,9,2010,2,5,2,5,1,1,2,1,1,35,39,1,7,1,2,2,1,2,4,1,3,33,2,5,1,4,1,6,2.6666666666666665,1.25,1.3333333333333333,5,1,9
2,3,1,1,1,1,1,1,4,4,6,2,2,1,2,1,2,2,1,1,1,1,2,2,3,2,1,1,1,1,1,3,2,2,1,2,1,1,2,4,2,2,6,2005,1,11,2,3,1,1,2,3,1,40,50,2,6,1,1,2,2,1,4,1,1,21,1,6,1,4,1,4,2.3333333333333335,1.5,1.3333333333333333,2,1,14
2,2,2,1,2,2,2,1,4,4,6,3,2,2,1,5,2,2,2,2,2,2,2,2,0,2,1,2,2,2,1,2,1,2,2,1,2,1,1,0,2,2,8,2004,1,12,3,5,1,1,2,3,3,NA,51,2,2,2,1,2,2,2,3,3,1,21,4,6,1,4,1,0,3.3333333333333335,2,2,2,0,15
1,1,1,1,1,3,2,2,4,3,6,1,1,1,1,2,1,1,1,1,1,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,2,1,7,2,1,12,2006,1,9,2,7,1,1,2,1,2,40,36,1,7,1,3,2,1,4,5,1,2,11,2,6,1,4,1,6,2,1.25,1,6,1,13
5,2,1,1,1,1,2,1,4,6,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,12,2012,2,2,2,4,2,1,1,1,1,40,33,1,2,1,2,1,1,1,1,3,1,13,1,6,3,4,NA,4,1.3333333333333333,1.5,1.3333333333333333,7,1,7
1,1,2,1,1,1,1,1,4,4,12,1,1,1,1,5,1,1,1,2,1,1,2,2,20,1,1,1,1,1,1,1,1,2,2,2,1,1,1,5,2,2,6,2003,1,13,2,3,1,1,2,1,1,50,56,1,12,1,1,2,1,0,5,1,3,12,1,6,1,4,1,5,3.3333333333333335,1.5,1,2,1,16
1,1,1,3,1,1,2,1,2,2,2,1,1,1,4,1,1,1,1,1,1,1,2,2,15,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,1,1,2,2010,2,6,2,3,1,1,2,1,1,26,32,1,8,1,1,1,1,0,4,1,3,13,4,6,1,3,1,6,2.3333333333333335,1.25,1,7,1,9
2,2,2,1,1,1,2,1,4,1,3,1,1,2,3,5,1,2,1,2,2,2,2,1,5,1,1,2,3,3,2,2,1,2,2,1,2,2,2,4,2,2,11,2000,1,15,2,3,1,1,2,1,1,40,45,1,10,1,1,2,1,0,5,1,4,32,1,6,1,4,1,3,3,1.75,2,2,1,19
1,2,3,2,1,1,2,1,4,4,10,1,1,1,2,1,1,1,2,2,2,2,2,1,3,1,1,2,2,2,2,2,1,2,2,2,2,1,1,5,2,2,3,2003,2,13,2,3,2,1,1,2,2,20,50,2,9,1,1,1,3,1,3,5,4,11,3,6,1,4,1,3,2.3333333333333335,1.75,1.6666666666666667,1,1,16
1,2,2,2,2,3,2,1,4,2,2,1,1,2,4,1,1,1,1,2,1,2,2,2,9,2,1,2,1,2,1,2,1,2,1,1,2,1,1,5,2,1,7,2006,1,10,2,4,1,1,2,3,1,40,48,2,9,1,1,2,2,0,4,1,3,31,1,5,1,4,1,4,2.3333333333333335,1.5,1.6666666666666667,4,0,13
1,3,2,1,1,1,2,1,4,4,10,1,1,1,4,4,1,2,1,2,2,1,2,1,3,1,1,2,2,2,2,2,1,2,2,2,1,1,1,7,2,1,3,2004,1,12,2,5,1,1,2,1,5,NA,52,1,8,1,1,1,1,2,4,1,2,41,2,5,1,4,1,4,4,1.75,1.6666666666666667,3,1,15
5,3,1,2,2,2,1,1,2,5,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,1,2,1,3,2,4,4,2,1,1,1,1,1,1,2,4,1,1,2,2011,2,5,4,4,1,1,2,1,1,50,29,2,10,2,1,2,2,0,2,3,1,11,2,6,1,4,NA,1,1,2,2.3333333333333335,7,0,8
5,2,1,1,1,3,1,1,4,4,4,1,1,1,4,4,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,1,6,2011,1,4,2,4,1,1,2,1,1,36,32,1,9,1,2,1,1,1,4,1,1,21,2,5,1,4,NA,7,4,1.25,1,6,1,8
3,3,3,4,1,3,2,1,4,4,8,2,2,1,3,3,1,1,1,1,1,1,1,1,10,1,1,4,3,4,4,2,1,1,1,2,1,1,2,5,2,2,11,2004,1,11,4,4,2,1,1,1,6,NA,58,1,9,1,1,2,1,1,4,5,1,21,2,5,1,4,0,8,3.3333333333333335,1,2.6666666666666665,4,1,15
2,2,2,1,1,1,1,1,4,4,7,1,1,1,4,3,1,1,1,2,1,1,2,2,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,1,2,2010,1,6,2,6,2,2,1,3,1,40,41,1,9,1,1,2,1,3,4,3,2,21,2,5,1,4,1,5,3.6666666666666665,1.5,1.3333333333333333,7,1,9
1,1,1,1,1,1,2,1,4,3,4,1,1,1,4,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,2,5,2010,1,6,2,4,2,1,1,1,1,40,39,2,4,2,1,2,3,1,2,4,3,21,1,2,1,4,1,4,3,1.5,1,6,1,9
1,1,2,1,2,3,2,1,4,4,8,1,1,2,4,1,1,2,1,1,1,1,2,2,25,1,1,2,2,2,1,2,2,2,2,1,1,2,2,5,2,2,11,2004,2,11,2,4,2,1,1,1,1,50,53,1,9,1,2,2,1,1,4,1,2,21,1,6,1,4,1,5,3,1.5,1.6666666666666667,2,0,15
1,1,2,1,2,1,2,1,4,4,10,1,2,1,3,1,1,1,1,2,2,1,2,2,7,2,1,2,2,3,2,2,2,2,2,2,2,1,2,1,2,2,1,2003,1,13,2,4,2,1,1,1,1,40,62,1,9,1,1,2,1,1,3,1,4,21,1,5,1,4,1,4,2.6666666666666665,1.5,2,0,0,16
1,1,2,1,1,1,1,1,4,4,20,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,5,2,2,3,2002,2,14,5,3,1,1,2,1,3,NA,56,1,8,1,1,2,1,0,5,4,2,11,2,6,1,4,1,3,2,1.75,1.6666666666666667,0,1,17
1,1,2,1,1,3,2,1,4,2,10,1,1,2,4,5,1,2,1,2,1,1,2,1,20,2,1,1,1,1,1,1,2,2,1,2,1,2,2,4,2,1,3,2002,2,14,2,4,2,1,1,1,1,40,42,1,9,1,1,2,1,1,5,1,3,21,1,5,1,4,1,5,3.6666666666666665,1.75,1.3333333333333333,3,1,17
